time (h),No 4-1,No 4-2,No 4-3,No 4-4,No 4-5,No 4-6,No 4-7,No 4-8,No 4-9,No 4-10,No 4-11,No 4-12
1,0,0.001,0.001,-0.001,-0.001,-0.002,-0.003,-0.002,-0.001,0,0,0
2,0.001,0.003,0.002,0.001,0.001,0,-0.003,-0.002,-0.001,0,0,0.001
3,0.003,0.005,0.003,0.002,0.002,0.002,-0.002,-0.002,-0.001,0,0,0.001
4,0.007,0.008,0.007,0.006,0.005,0.005,-0.002,-0.001,0,0.001,0.001,0.001
5,0.012,0.014,0.012,0.011,0.01,0.011,-0.001,-0.001,0.001,0.001,0.002,0.002
6,0.022,0.024,0.022,0.021,0.02,0.02,0.001,0,0.002,0.002,0.003,0.003
7,0.038,0.041,0.038,0.038,0.037,0.037,0.005,0.002,0.005,0.005,0.005,0.006
8,0.07,0.073,0.07,0.07,0.069,0.067,0.011,0.006,0.01,0.01,0.011,0.011
9,0.134,0.134,0.132,0.13,0.132,0.128,0.022,0.014,0.02,0.019,0.02,0.021
10,0.263,0.253,0.258,0.249,0.259,0.247,0.048,0.031,0.041,0.039,0.04,0.041
11,0.469,0.469,0.467,0.464,0.466,0.46,0.08,0.065,0.081,0.079,0.08,0.08
12,0.729,0.712,0.711,0.707,0.708,0.702,0.167,0.117,0.166,0.165,0.164,0.163
13,0.85,0.85,0.869,0.845,0.856,0.845,0.344,0.197,0.337,0.339,0.333,0.33
14,0.941,0.924,0.909,0.918,0.923,0.918,0.576,0.32,0.579,0.579,0.57,0.583
15,0.962,0.984,0.95,0.975,0.956,0.976,0.891,0.477,0.881,0.773,0.882,0.788
16,0.998,1.03,0.988,1.022,0.995,1.018,0.877,0.628,0.883,0.867,0.852,0.865
17,1.028,1.064,1.016,1.055,1.023,1.046,0.918,0.709,0.939,0.938,0.912,0.939
18,1.051,1.088,1.039,1.081,1.046,1.065,0.971,0.796,0.99,0.991,0.967,0.991
19,1.073,1.105,1.059,1.1,1.066,1.078,1.012,0.856,1.025,1.03,1.007,1.03
20,1.094,1.121,1.076,1.116,1.081,1.096,1.047,0.896,1.058,1.043,1.039,1.043
21,1.11,1.138,1.091,1.132,1.09,1.122,1.058,0.914,1.07,1.056,1.046,1.06
22,1.119,1.158,1.1,1.15,1.097,1.15,1.068,0.889,1.082,1.068,1.055,1.075
23,1.129,1.175,1.108,1.168,1.105,1.171,1.075,0.877,1.092,1.073,1.062,1.082
24,1.136,1.187,1.117,1.18,1.109,1.184,1.078,0.866,1.091,1.07,1.066,1.08
25,1.138,1.2,1.119,1.189,1.111,1.197,1.076,0.861,1.088,1.064,1.064,1.077
26,1.139,1.21,1.109,1.195,1.108,1.203,1.07,0.855,1.081,1.062,1.058,1.074
27,1.13,1.215,1.102,1.202,1.1,1.205,1.064,0.847,1.079,1.066,1.05,1.085
